time,Real Lower Band,Real Middle Band,Real Upper Band
2017-12-28,3476.0728,3596.1997,3716.3265
2017-12-27,3480.7136,3597.5567,3714.3997
2017-12-22,3483.0521,3598.4320,3713.8119
2017-12-21,3485.0799,3599.1230,3713.1661
2017-12-20,3484.6621,3599.0040,3713.3459
2017-12-19,3484.8526,3599.0458,3713.2391
2017-12-18,3481.7424,3598.2818,3714.8212
2017-12-15,3478.3511,3597.0883,3715.8255
2017-12-14,3476.9283,3596.7698,3716.6113
2017-12-13,3475.6412,3596.4927,3717.3441
2017-12-12,3471.7840,3595.5560,3719.3280
2017-12-11,3468.2059,3594.4032,3720.6004
2017-12-08,3464.7056,3593.4787,3722.2517
2017-12-07,3460.0078,3592.2137,3724.4196
2017-12-06,3457.0246,3591.4362,3725.8477
2017-12-05,3454.3089,3590.7957,3727.2824
2017-12-04,3450.2689,3589.8288,3729.3888
2017-12-01,3444.3386,3588.4783,3732.6181
2017-11-30,3434.9084,3587.1473,3739.3862
2017-11-29,3423.8229,3585.1095,3746.3961
2017-11-28,3411.0925,3582.5077,3753.9228
2017-11-27,3397.4887,3579.7972,3762.1056
2017-11-24,3386.5169,3577.5705,3768.6240
2017-11-23,3377.4600,3575.2813,3773.1026
2017-11-22,3366.3162,3572.7713,3779.2264
2017-11-21,3353.7143,3570.1223,3786.5304
2017-11-20,3339.5792,3566.9373,3794.2955
2017-11-17,3330.4370,3564.5977,3798.7583
2017-11-16,3323.7413,3562.7825,3801.8237
2017-11-15,3317.4821,3560.7813,3804.0806
2017-11-14,3311.2669,3558.9965,3806.7261
2017-11-13,3306.4233,3557.3167,3808.2100
2017-11-10,3298.8101,3554.8002,3810.7902
2017-11-09,3293.4494,3552.3380,3811.2266
2017-11-08,3289.7355,3549.8292,3809.9228
2017-11-07,3289.0065,3546.9880,3804.9695
2017-11-06,3287.4473,3543.7070,3799.9667
2017-11-03,3286.9624,3539.8453,3792.7283
2017-11-02,3284.0365,3535.1183,3786.2001
2017-11-01,3284.1168,3530.8640,3777.6112
2017-10-31,3287.9303,3527.0482,3766.1660
2017-10-30,3292.2518,3524.4095,3756.5672
2017-10-27,3295.8808,3521.8032,3747.7255
2017-10-26,3299.2352,3519.3895,3739.5437
2017-10-25,3300.3602,3516.5423,3732.7244
2017-10-24,3299.0720,3514.3400,3729.6080
2017-10-23,3298.3061,3511.6512,3724.9962
2017-10-20,3298.7331,3509.2988,3719.8646
2017-10-19,3300.1425,3507.4330,3714.7235
2017-10-18,3301.5395,3505.5848,3709.6301
2017-10-17,3303.6916,3503.1497,3702.6077
2017-10-16,3304.4693,3500.5730,3696.6767
2017-10-13,3305.4372,3497.9970,3690.5568
2017-10-12,3308.2327,3496.2460,3684.2593
2017-10-11,3311.3743,3494.4917,3677.6090
2017-10-10,3314.5372,3492.3465,3670.1558
